title,release_year,budget,revenue,loss,genres
The Tale of the Princess Kaguya,2013,49300000.0,24186232.0,25113768.0,"Animation, Drama, Fantasy"
The Good Shepherd,2006,85000000.0,59908565.0,25091435.0,"Drama, Thriller, History"
I Still Know What You Did Last Summer,1998,65000000.0,40002112.0,24997888.0,"Horror, Mystery, Thriller"
Free State of Jones,2016,50000000.0,25035950.0,24964050.0,"War, Action, Drama, History, Thriller"
Spanglish,2004,80000000.0,55041367.0,24958633.0,Comedy
Twisted,2004,50000000.0,25195000.0,24805000.0,"Action, Adventure, Crime, Drama, Thriller"
Showgirls,1995,45000000.0,20350754.0,24649246.0,Drama
Money Train,1995,60000000.0,35431113.0,24568887.0,"Action, Comedy, Crime"
Bandidas,2006,35000000.0,10496317.0,24503683.0,"Action, Comedy, Western, Crime"
Flags of Our Fathers,2006,90000000.0,65900249.0,24099751.0,"War, Drama, History"
47 Ronin,2013,175000000.0,150962475.0,24037525.0,"Drama, Action, Adventure, Fantasy"
Flight of the Phoenix,2004,45000000.0,21009180.0,23990820.0,"Action, Adventure, Drama, Thriller"
Hollywood Homicide,2003,75000000.0,51142659.0,23857341.0,"Action, Adventure, Comedy, Thriller"
Blood Work,2002,50000000.0,26199517.0,23800483.0,"Crime, Drama, Mystery, Thriller"
Your Highness,2011,49900000.0,26121638.0,23778362.0,Comedy
Intersection,1994,45000000.0,21355893.0,23644107.0,"Drama, Romance"
The Flintstones in Viva Rock Vegas,2000,83000000.0,59468275.0,23531725.0,"Science Fiction, Comedy, Family, Romance"
The Young and Prodigious T.S. Spivet,2013,33000000.0,9494789.0,23505211.0,"Adventure, Drama, Family"
Gattaca,1997,36000000.0,12532777.0,23467223.0,"Thriller, Science Fiction, Mystery, Romance"
The Order,2003,35000000.0,11560806.0,23439194.0,"Drama, Fantasy, Horror, Mystery, Romance, Thriller"
Angel Eyes,2001,53000000.0,29700000.0,23300000.0,"Drama, Romance, Thriller"
Life or Something Like It,2002,40000000.0,16872671.0,23127329.0,"Comedy, Drama, Romance"
Trapped,2002,30000000.0,6916869.0,23083131.0,"Action, Crime, Drama, Thriller"
Metro,1997,55000000.0,31987563.0,23012437.0,"Action, Adventure, Comedy, Crime, Thriller"
Freedomland,2006,37665000.0,14655628.0,23009372.0,"Drama, Thriller, Crime, Mystery"
Junior,1994,60000000.0,37000000.0,23000000.0,"Comedy, Family, Romance"
Psycho,1998,60000000.0,37141130.0,22858870.0,"Horror, Mystery, Thriller"
Battlefield Earth,2000,44000000.0,21400000.0,22600000.0,"Action, Science Fiction, War"
Zoom,2006,35000000.0,12506188.0,22493812.0,"Family, Fantasy, Comedy"
Silence,2016,46000000.0,23737523.0,22262477.0,"Drama, History"
Pan,2015,150000000.0,128388320.0,21611680.0,"Adventure, Family, Fantasy"
Barney's Version,2010,30000000.0,8454301.0,21545699.0,"Comedy, Drama"
We Are Marshall,2006,65000000.0,43545364.0,21454636.0,Drama
The Lost City of Z,2016,30000000.0,8574339.0,21425661.0,"Action, Adventure, Drama, History"
American Outlaws,2001,35000000.0,13678913.0,21321087.0,"Action, Western"
Paranoia,2013,35000000.0,13785015.0,21214985.0,"Drama, Thriller"
Stuck on You,2003,55000000.0,33828318.0,21171682.0,Comedy
FearDotCom,2002,40000000.0,18902015.0,21097985.0,"Horror, Thriller"
Drive Angry,2011,50000000.0,28931401.0,21068599.0,"Fantasy, Thriller, Action, Crime"
The Rum Diary,2011,45000000.0,24000000.0,21000000.0,"Drama, Comedy"
The Spirit,2008,60000000.0,39031337.0,20968663.0,"Action, Comedy, Thriller, Crime, Science Fiction"
Astro Boy,2009,65000000.0,44091067.0,20908933.0,"Animation, Action, Family, Science Fiction"
Babe: Pig in the City,1998,90000000.0,69131860.0,20868140.0,"Adventure, Comedy, Drama, Family, Fantasy"
The Hunted,2003,55000000.0,34234008.0,20765992.0,"Drama, Action, Thriller, Crime"
Domestic Disturbance,2001,75000000.0,54249294.0,20750706.0,"Mystery, Thriller, Crime"
Amelia,2009,40000000.0,19258519.0,20741481.0,Adventure
Supergirl,1984,35000000.0,14296438.0,20703562.0,"Adventure, Fantasy, Action, Science Fiction"
Duplex,2003,40000000.0,19322135.0,20677865.0,"Action, Comedy, Thriller"
Extreme Measures,1996,38000000.0,17380126.0,20619874.0,"Drama, Thriller"
Their Finest,2017,32745300.0,12173470.0,20571830.0,"Romance, War, Comedy, Drama"
Unfinished Business,2015,35000000.0,14431253.0,20568747.0,Comedy
Color of Night,1994,40000000.0,19726050.0,20273950.0,"Drama, Mystery, Romance, Thriller"
Red Dawn,2012,65000000.0,44806783.0,20193217.0,"War, Action, Thriller, Science Fiction"
The Love Guru,2008,62000000.0,41819064.0,20180936.0,"Comedy, Romance"
Very Bad Things,1998,30000000.0,9898412.0,20101588.0,"Comedy, Crime, Thriller"
The Horseman on the Roof,1995,35000000.0,15000000.0,20000000.0,"War, Adventure, Drama, Romance"
Dungeons & Dragons,2000,35000000.0,15185241.0,19814759.0,"Action, Adventure, Fantasy, Science Fiction"
Last Man Standing,1996,67000000.0,47267001.0,19732999.0,"Action, Crime, Drama, Thriller"
Assassins,1995,50000000.0,30303072.0,19696928.0,"Action, Adventure, Crime, Thriller"
The Fountain,2006,35000000.0,15304890.0,19695110.0,"Drama, Adventure, Science Fiction, Romance"
Ali,2001,107000000.0,87713825.0,19286175.0,Drama
Micmacs,2009,33000000.0,14000000.0,19000000.0,"Action, Comedy, Crime"
For Love or Money,1993,30000000.0,11146270.0,18853730.0,"Comedy, Romance"
The Road to El Dorado,2000,95000000.0,76432727.0,18567273.0,"Adventure, Animation, Comedy, Family"
Femme Fatale,2002,35000000.0,16838910.0,18161090.0,"Thriller, Crime, Romance"
Duplicity,2009,78146652.0,60000000.0,18146652.0,"Romance, Comedy, Crime"
Sunshine,2007,50000000.0,32017803.0,17982197.0,"Science Fiction, Thriller"
A Thousand Words,2012,40000000.0,22044277.0,17955723.0,"Drama, Comedy"
Catwoman,2004,100000000.0,82102379.0,17897621.0,"Action, Crime"
Lord of War,2005,42000000.0,24127895.0,17872105.0,"Crime, Drama, Thriller"
City By The Sea,2002,40000000.0,22433915.0,17566085.0,"Crime, Drama, Mystery"
Sabotage,2014,35000000.0,17508518.0,17491482.0,"Action, Drama, Thriller, Crime"
Wicker Park,2004,30000000.0,13001257.0,16998743.0,"Drama, Mystery, Romance, Thriller"
Solaris,2002,47000000.0,30002758.0,16997242.0,"Drama, Science Fiction, Mystery, Romance"
Reign of Fire,2002,60000000.0,43061982.0,16938018.0,"Adventure, Action, Fantasy"
Rosewood,1997,30000000.0,13130349.0,16869651.0,"Drama, History"
For the Boys,1991,40000000.0,23202444.0,16797556.0,"Music, Drama"
Criminal,2016,31500000.0,14708696.0,16791304.0,Action
Body of Evidence,1993,30000000.0,13273595.0,16726405.0,"Drama, Thriller, Romance"
Leatherheads,2008,58000000.0,41299492.0,16700508.0,"Comedy, Romance, Drama"
Walk Hard: The Dewey Cox Story,2007,35000000.0,18317151.0,16682849.0,"Comedy, Music"
Hoodwinked Too! Hood VS. Evil,2011,30000000.0,13521829.0,16478171.0,"Comedy, Animation, Family"
Dragon Wars: D-War,2007,70000000.0,53587404.0,16412596.0,"Fantasy, Drama, Horror, Action, Thriller, Science Fiction"
Geronimo: An American Legend,1993,35000000.0,18635620.0,16364380.0,"History, Action, Drama, Western"
Stormbreaker,2006,40000000.0,23937870.0,16062130.0,"Adventure, Action, Family"
Welcome to Mooseport,2004,30000000.0,14000000.0,16000000.0,Comedy
Cool World,1992,30000000.0,14110589.0,15889411.0,"Animation, Comedy, Fantasy"
Extraordinary Measures,2010,31000000.0,15134293.0,15865707.0,Drama
Species II,1998,35000000.0,19165560.0,15834440.0,"Science Fiction, Action, Horror"
The Neverending Story II: The Next Chapter,1990,32000000.0,16283667.0,15716333.0,"Drama, Family, Fantasy, Adventure"
Cursed,2005,35000000.0,19294901.0,15705099.0,"Horror, Comedy"
The People vs. Larry Flynt,1996,36000000.0,20300385.0,15699615.0,Drama
Renaissance Man,1994,40000000.0,24332324.0,15667676.0,"Comedy, War"
Winged Migration,2001,35866397.0,20217080.0,15649317.0,Documentary
Rock of Ages,2012,75000000.0,59418613.0,15581387.0,"Comedy, Drama, Music, Romance"
Winnie the Pooh,2011,30000000.0,14460000.0,15540000.0,"Animation, Family"
Valiant,2005,35000000.0,19478106.0,15521894.0,"Animation, Family, Adventure"
Paradise,1991,34000000.0,18634643.0,15365357.0,"Drama, Family, Romance"
The Assassination of Jesse James by the Coward Robert Ford,2007,30000000.0,14711793.0,15288207.0,"Action, Drama, Western"
Big Miracle,2012,40000000.0,24719215.0,15280785.0,"Adventure, Drama, Romance"
The Space Between Us,2017,30000000.0,14793385.0,15206615.0,"Romance, Adventure, Science Fiction, Drama"
The Life Aquatic with Steve Zissou,2004,50000000.0,34808403.0,15191597.0,"Adventure, Comedy, Drama"
The Cave,2005,30000000.0,15007991.0,14992009.0,"Action, Adventure, Horror, Thriller"
The Guardian,2006,70000000.0,55011732.0,14988268.0,"Action, Adventure, Drama"
Down with Love,2003,35000000.0,20298207.0,14701793.0,"Action, Comedy, Romance, Thriller"
The Inhabited Island,2008,36500000.0,21834845.0,14665155.0,"Action, Fantasy, Science Fiction, Thriller"
Alex Cross,2012,45000000.0,30353232.0,14646768.0,"Action, Thriller, Crime, Mystery"
Alex & Emma,2003,30000000.0,15368897.0,14631103.0,"Comedy, Romance"
Anonymous,2011,30000000.0,15395087.0,14604913.0,"Drama, History, Thriller"
Highlander II: The Quickening,1991,30000000.0,15556340.0,14443660.0,"Action, Fantasy, Science Fiction"
Summer Catch,2001,34000000.0,19693891.0,14306109.0,"Drama, Comedy, Romance"
Pathfinder,2007,45000000.0,30822861.0,14177139.0,Adventure
The Bachelor,1999,51000000.0,36911617.0,14088383.0,Comedy
The Aviator,2004,116000000.0,102000000.0,14000000.0,Drama
The Internship,2013,58000000.0,44000000.0,14000000.0,Comedy
The Whole Ten Yards,2004,40000000.0,26155781.0,13844219.0,"Comedy, Thriller, Crime"
The Boat That Rocked,2009,50000000.0,36348784.0,13651216.0,"Drama, Comedy"
Repo Men,2010,32000000.0,18409891.0,13590109.0,"Action, Science Fiction, Thriller, Crime"
Funny People,2009,75000000.0,61458982.0,13541018.0,"Comedy, Drama"
What Dreams May Come,1998,85000000.0,71485043.0,13514957.0,"Drama, Fantasy, Romance"
The Quick and the Dead,1995,32000000.0,18552460.0,13447540.0,"Action, Western"
A Cure for Wellness,2017,40000000.0,26559557.0,13440443.0,"Mystery, Thriller, Horror, Science Fiction"
Ronin,1998,55000000.0,41610884.0,13389116.0,"Action, Thriller, Crime, Adventure"
A Civil Action,1998,70000000.0,56702901.0,13297099.0,Drama
The Big Wedding,2013,35000000.0,21819348.0,13180652.0,Comedy
88 Minutes,2007,30000000.0,16930884.0,13069116.0,"Crime, Mystery, Thriller"
Little Black Book,2004,35000000.0,22034832.0,12965168.0,"Comedy, Romance, Drama"
The Musketeer,2001,40000000.0,27053815.0,12946185.0,"Action, Adventure, Drama"
Space Pirate Captain Harlock,2013,30000000.0,17137302.0,12862698.0,"Animation, Science Fiction"
Empire of the Sun,1987,35000000.0,22238696.0,12761304.0,"Drama, History, War"
Almost Famous,2000,60000000.0,47383689.0,12616311.0,"Drama, Music"
Pandorum,2009,33000000.0,20645327.0,12354673.0,"Action, Horror, Mystery, Science Fiction, Thriller"
Scott Pilgrim vs. the World,2010,60000000.0,47664559.0,12335441.0,"Action, Adventure, Comedy"
Two Brothers,2004,74500000.0,62172050.0,12327950.0,"Adventure, Drama, Family"
Riding in Cars with Boys,2001,48000000.0,35743308.0,12256692.0,"Comedy, Drama, Romance"
Shoot 'Em Up,2007,39000000.0,26820641.0,12179359.0,"Action, Thriller, Comedy, Crime"
Pompeii,2014,130000000.0,117831631.0,12168369.0,"Action, Adventure, History, Romance, Drama"
Sky Captain and the World of Tomorrow,2004,70000000.0,57958696.0,12041304.0,"Mystery, Action, Thriller, Science Fiction, Adventure"
